"","id","primary.type","arrest","domestic","beat","year","latitude","longitude","optional"
"106",24655,"HOMICIDE","false","false",1123,2019,41.886341244,-87.712098747,TRUE
"107",24657,"HOMICIDE","false","false",512,2019,41.702539626,-87.628814568,TRUE
"108",24658,"HOMICIDE","true","false",713,2019,41.780873262,-87.661824508,TRUE
"109",24659,"HOMICIDE","false","false",2233,2019,41.686132926,-87.638552554,TRUE
"110",24660,"HOMICIDE","false","false",513,2019,41.699864066,-87.623933281,TRUE
"111",24661,"HOMICIDE","true","true",214,2019,41.821525619,-87.603551263,TRUE
"112",24662,"HOMICIDE","false","false",912,2019,41.831594882,-87.682646388,TRUE
"113",24663,"HOMICIDE","false","false",1022,2019,41.860997913,-87.70300142,TRUE
"114",24664,"HOMICIDE","false","false",621,2019,41.757564743,-87.634473052,TRUE
"115",24665,"HOMICIDE","false","false",621,2019,41.757564743,-87.634473052,TRUE
"116",24669,"HOMICIDE","true","false",322,2019,41.771970728,-87.62347293,TRUE
"117",24670,"HOMICIDE","false","false",1012,2019,41.860134288,-87.732333465,TRUE
"118",24666,"HOMICIDE","false","false",1511,2019,41.894143418,-87.767924691,TRUE
"119",24668,"HOMICIDE","false","false",1232,2019,41.864102036,-87.655833034,TRUE
"120",24667,"HOMICIDE","false","false",934,2019,41.79410148,-87.660076557,TRUE
"121",24671,"HOMICIDE","false","false",1022,2019,41.862942442,-87.707306891,TRUE
"122",24504,"HOMICIDE","true","false",622,2019,41.736286061,-87.641841032,TRUE
"123",24681,"HOMICIDE","true","false",731,2019,41.765230473,-87.626545636,TRUE
"124",24672,"HOMICIDE","false","false",1021,2019,41.860315864,-87.712809585,TRUE
"125",24673,"HOMICIDE","false","false",911,2019,41.832972861,-87.69493592,TRUE
"126",24674,"HOMICIDE","false","false",511,2019,41.708085623,-87.624751147,TRUE
"127",24675,"HOMICIDE","true","false",1113,2019,41.879296906,-87.741216562,TRUE
"128",24676,"HOMICIDE","false","false",732,2019,41.761023091,-87.634560148,TRUE
"129",24684,"HOMICIDE","true","false",225,2019,41.7943228,-87.624781229,TRUE
"130",24678,"HOMICIDE","false","false",932,2019,41.794775359,-87.673106456,TRUE
"131",24677,"HOMICIDE","false","false",1012,2019,41.856307213,-87.732556505,TRUE
"132",24680,"HOMICIDE","false","false",2531,2019,41.912660986,-87.766141074,TRUE
"133",24679,"HOMICIDE","false","false",722,2019,41.769899784,-87.629881576,TRUE
"134",24682,"HOMICIDE","true","false",624,2019,41.752203876,-87.600360737,TRUE
"135",24683,"HOMICIDE","false","false",423,2019,41.743643433,-87.561246472,TRUE
"136",24687,"HOMICIDE","false","false",1024,2019,41.848054645,-87.711819672,TRUE
"137",24688,"HOMICIDE","true","false",1121,2019,41.89551514,-87.710559023,TRUE
"138",24686,"HOMICIDE","false","false",423,2019,41.73871167,-87.552680462,TRUE
"139",24685,"HOMICIDE","false","false",1121,2019,41.892563186,-87.707686182,TRUE
"140",24689,"HOMICIDE","false","false",214,2019,41.821436658,-87.61249664,TRUE
"141",24691,"HOMICIDE","false","false",421,2019,41.752865122,-87.563825944,TRUE
"142",24692,"HOMICIDE","true","true",311,2019,41.78379134,-87.620966612,TRUE
"143",24694,"HOMICIDE","false","false",1131,2019,41.866539497,-87.734982912,TRUE
"144",24693,"HOMICIDE","false","false",1131,2019,41.866539497,-87.734982912,TRUE
"145",24695,"HOMICIDE","false","false",1422,2019,41.90912332,-87.712495097,TRUE
"146",24697,"HOMICIDE","false","false",432,2019,41.715427321,-87.52935993,TRUE
"147",24696,"HOMICIDE","false","false",231,2019,41.80113088,-87.619384581,TRUE
"148",24698,"HOMICIDE","false","false",825,2019,41.778730533,-87.68728733,TRUE
"149",24699,"HOMICIDE","false","false",632,2019,41.73609565,-87.604808666,TRUE
"150",24700,"HOMICIDE","false","false",711,2019,41.782546651,-87.640915234,TRUE
"151",24811,"HOMICIDE","false","false",715,2019,41.789353269,-87.674170494,TRUE
"152",24701,"HOMICIDE","false","false",712,2019,41.790086602,-87.653554734,TRUE
"153",24702,"HOMICIDE","false","false",1122,2019,41.87802667,-87.721906346,TRUE
"154",24703,"HOMICIDE","true","false",1111,2019,41.897074192,-87.732773279,TRUE
"155",24706,"HOMICIDE","false","false",213,2019,41.820175724,-87.621084441,TRUE
"156",24705,"HOMICIDE","false","false",1122,2019,41.891753676,-87.719388155,TRUE
"157",24704,"HOMICIDE","false","false",511,2019,41.721192538,-87.595969656,TRUE
"158",24707,"HOMICIDE","false","false",1511,2019,41.893725391,-87.766628178,TRUE
"159",24710,"HOMICIDE","false","false",1134,2019,41.87484722,-87.706841907,TRUE
"160",24708,"HOMICIDE","true","false",1013,2019,41.850570565,-87.733388313,TRUE
"161",24709,"HOMICIDE","false","false",631,2019,41.745205818,-87.603796917,TRUE
"162",24711,"HOMICIDE","false","false",1122,2019,41.885433677,-87.725060094,TRUE
"163",19711,"HOMICIDE","true","false",715,2010,41.789649698,-87.674178458,TRUE
"164",24712,"HOMICIDE","false","false",1135,2019,41.873882904,-87.686840358,TRUE
"165",24713,"HOMICIDE","false","false",715,2019,41.791476432,-87.67544687,TRUE
"166",24714,"HOMICIDE","false","false",1531,2019,41.900441318,-87.753587489,TRUE
"167",24715,"HOMICIDE","true","true",231,2019,41.798444234,-87.617180944,TRUE
"168",24716,"HOMICIDE","false","false",512,2019,41.702770631,-87.622209499,TRUE
"169",24538,"HOMICIDE","true","false",1021,2019,41.8629147,-87.709774147,TRUE
"170",24717,"HOMICIDE","false","false",835,2019,41.760165287,-87.686788178,TRUE
"171",24718,"HOMICIDE","false","false",424,2019,41.736675238,-87.545820662,TRUE
"172",24722,"HOMICIDE","false","false",735,2019,41.764295943,-87.666231019,TRUE
"173",24721,"HOMICIDE","false","false",735,2019,41.764295943,-87.666231019,TRUE
"174",24720,"HOMICIDE","false","false",1522,2019,41.879335159,-87.758467514,TRUE
"175",24719,"HOMICIDE","false","false",1422,2019,41.908269183,-87.708322693,TRUE
"176",24724,"HOMICIDE","false","false",313,2019,41.78345662,-87.610872595,TRUE
"177",24723,"HOMICIDE","false","false",1533,2019,41.881710958,-87.753411648,TRUE
"178",24725,"HOMICIDE","false","false",824,2019,41.78628072,-87.70121479,TRUE
"179",24728,"HOMICIDE","false","true",421,2019,41.758365623,-87.561509844,TRUE
"180",24726,"HOMICIDE","false","false",613,2019,41.73887651,-87.650991641,TRUE
"181",24727,"HOMICIDE","false","false",1021,2019,41.859950194,-87.709138509,TRUE
"182",24543,"HOMICIDE","true","false",1713,2019,41.971041686,-87.708547831,TRUE
"183",24729,"HOMICIDE","false","false",132,2019,41.855190551,-87.623871195,TRUE
"184",24809,"HOMICIDE","false","false",1511,2019,41.89843848,-87.769664609,TRUE
"185",24731,"HOMICIDE","false","false",1031,2019,41.836893508,-87.72355671,TRUE
"186",24741,"HOMICIDE","false","false",532,2019,41.678038746,-87.621771684,TRUE
"187",24730,"HOMICIDE","false","false",1024,2019,41.850883366,-87.707663065,TRUE
"188",24735,"HOMICIDE","false","false",1524,2019,41.897203228,-87.760720508,TRUE
"189",24732,"HOMICIDE","true","true",1431,2019,41.9203106,-87.69136176,TRUE
"190",24734,"HOMICIDE","false","false",934,2019,41.799732456,-87.648420994,TRUE
"191",24733,"HOMICIDE","false","false",822,2019,41.794527267,-87.715839258,TRUE
"192",24736,"HOMICIDE","false","false",421,2019,41.759355486,-87.55812601,TRUE
"193",24737,"HOMICIDE","false","false",432,2019,41.701988889,-87.540092009,TRUE
"194",24400,"HOMICIDE","true","true",1223,2019,41.884156374,-87.672682817,TRUE
"195",24738,"HOMICIDE","false","false",815,2019,41.80716827,-87.743142974,TRUE
"196",24739,"HOMICIDE","false","false",1233,2019,41.859425387,-87.661363064,TRUE
"197",24740,"HOMICIDE","false","false",334,2019,41.760813522,-87.565603941,TRUE
"198",24742,"HOMICIDE","false","false",711,2019,41.786101822,-87.638860285,TRUE
"199",24747,"HOMICIDE","false","false",622,2019,41.744213662,-87.642635417,TRUE
"200",24745,"HOMICIDE","false","false",311,2019,41.784757558,-87.629015193,TRUE
"201",24743,"HOMICIDE","false","false",1634,2019,41.93872425,-87.754854391,TRUE
"202",24744,"HOMICIDE","false","false",212,2019,41.828755455,-87.621712165,TRUE
"203",11741456,"HOMICIDE","true","false",431,2019,41.715883203,-87.574610766,TRUE
"204",24746,"HOMICIDE","false","false",1532,2019,41.8904458,-87.751764409,TRUE
"205",24750,"HOMICIDE","false","false",2234,2019,41.693717233,-87.658645623,TRUE
"206",24749,"HOMICIDE","false","false",1012,2019,41.85596047,-87.729755324,TRUE
"207",24748,"HOMICIDE","false","false",613,2019,41.74275371,-87.646300658,TRUE
"208",24810,"HOMICIDE","false","false",715,2019,41.789668907,-87.674178261,TRUE
"209",24752,"HOMICIDE","false","false",1632,2019,41.953144111,-87.786568029,TRUE
"210",24751,"HOMICIDE","false","false",1121,2019,41.894539497,-87.713844747,TRUE
